Date,Adj Close,Close,High,Low,Open,Volume
,BKNG,BKNG,BKNG,BKNG,BKNG,BKNG
2025-01-02,4877.83642578125,4925.2900390625,5039.8798828125,4896.669921875,4990.669921875,141300
2025-01-03,4856.6025390625,4903.85009765625,4961.9501953125,4878.85986328125,4937.77978515625,165500
2025-01-06,4862.48583984375,4909.7900390625,4942.669921875,4845.5498046875,4942.669921875,278200
2025-01-07,4749.8916015625,4796.10009765625,4889.35986328125,4788.0,4881.41015625,220300
2025-01-08,4825.4755859375,4872.419921875,4877.240234375,4785.5,4808.89990234375,266300
2025-01-10,4693.88525390625,4739.5498046875,4835.85009765625,4700.16015625,4809.2099609375,306200
2025-01-13,4718.0009765625,4763.89990234375,4780.580078125,4660.31982421875,4710.2900390625,209900
2025-01-14,4732.76708984375,4778.81005859375,4809.080078125,4751.080078125,4781.830078125,206100
2025-01-15,4783.10791015625,4829.64013671875,4899.5400390625,4815.7099609375,4851.72998046875,230300
2025-01-16,4818.126953125,4865.0,4901.60009765625,4798.169921875,4817.77978515625,188400
2025-01-17,4879.3310546875,4926.7998046875,4976.9599609375,4894.4501953125,4950.0,260100
2025-01-21,4641.25830078125,4686.41015625,4934.6201171875,4615.0,4925.4501953125,405900
2025-01-22,4574.70458984375,4619.2099609375,4704.509765625,4595.91015625,4681.56005859375,372900
2025-01-23,4771.71875,4818.14013671875,4822.4501953125,4609.0498046875,4620.64990234375,402300
2025-01-24,4718.9814453125,4764.89013671875,4828.0,4723.7900390625,4802.0,240000
2025-01-27,4630.3134765625,4675.35986328125,4781.16015625,4656.8701171875,4656.8701171875,299600
2025-01-28,4639.54443359375,4684.68017578125,4751.52001953125,4660.0,4670.10009765625,331000
2025-01-29,4676.36572265625,4721.85986328125,4744.009765625,4688.77001953125,4705.56005859375,179100
2025-01-30,4728.3310546875,4774.330078125,4789.33984375,4700.0498046875,4789.33984375,237000
2025-01-31,4691.91455078125,4737.56005859375,4830.0,4711.0400390625,4796.0,245200
2025-02-03,4647.68505859375,4692.89990234375,4742.85986328125,4605.43017578125,4670.18994140625,251600
2025-02-04,4633.85986328125,4678.93994140625,4728.56982421875,4655.8701171875,4670.509765625,261800
2025-02-05,4654.1123046875,4699.39013671875,4778.68017578125,4684.06982421875,4688.43017578125,218600
2025-02-06,4733.65869140625,4779.7099609375,4847.0,4729.8798828125,4730.64013671875,428000
2025-02-07,4840.380859375,4887.47021484375,5072.7001953125,4869.0,4884.89990234375,430600
2025-02-10,4866.1396484375,4913.47998046875,4987.0,4905.990234375,4962.7099609375,191800
2025-02-11,4850.1357421875,4897.31982421875,4931.77978515625,4863.60009765625,4896.06005859375,177400
2025-02-12,4969.76123046875,5018.10986328125,5020.66015625,4877.02978515625,4877.02978515625,198900
2025-02-13,4960.4423828125,5008.7001953125,5079.08984375,4984.31005859375,5059.4599609375,224400
