Date,Adj Close,Close,High,Low,Open,Volume
,AVB,AVB,AVB,AVB,AVB,AVB
2025-01-02,209.517333984375,217.07000732421875,220.1300048828125,216.41000366210938,219.61000061035156,409300
2025-01-03,211.54425048828125,219.1699981689453,219.3699951171875,216.25,217.00999450683594,474300
2025-01-06,205.37657165527344,212.77999877929688,221.0,212.17999267578125,221.0,540400
2025-01-07,203.88052368164062,211.22999572753906,215.1699981689453,210.27999877929688,214.27999877929688,453500
2025-01-08,204.9808349609375,212.3699951171875,212.57000732421875,209.3300018310547,211.72000122070312,472900
2025-01-10,203.4365234375,210.77000427246094,214.57000732421875,210.35000610351562,212.0,857400
2025-01-13,208.27218627929688,215.77999877929688,216.4199981689453,210.2899932861328,211.00999450683594,583300
2025-01-14,210.61764526367188,218.2100067138672,218.61000061035156,214.8000030517578,215.35000610351562,617800
2025-01-15,209.55592346191406,217.11000061035156,223.55999755859375,216.5500030517578,223.0800018310547,823800
2025-01-16,210.31842041015625,217.89999389648438,218.25,215.30999755859375,217.9199981689453,453200
2025-01-17,210.55007934570312,218.13999938964844,218.83999633789062,217.25,218.3699951171875,553900
2025-01-21,211.61180114746094,219.24000549316406,221.08999633789062,217.63999938964844,218.5500030517578,568600
2025-01-22,206.9498748779297,214.41000366210938,217.7100067138672,214.00999450683594,217.7100067138672,438200
2025-01-23,206.361083984375,213.8000030517578,214.91000366210938,211.24000549316406,214.52999877929688,592700
2025-01-24,207.2780303955078,214.75,215.64999389648438,211.22999572753906,212.5,487500
2025-01-27,212.6831817626953,220.35000610351562,220.67999267578125,215.3800048828125,215.3800048828125,458200
2025-01-28,211.71798706054688,219.35000610351562,221.4600067138672,218.25,219.3699951171875,761600
2025-01-29,207.47105407714844,214.9499969482422,219.99000549316406,214.42999267578125,219.05999755859375,671200
2025-01-30,212.2295379638672,219.8800048828125,220.6199951171875,216.8800048828125,217.32000732421875,664400
2025-01-31,213.8028106689453,221.50999450683594,222.55999755859375,218.2899932861328,218.83999633789062,1061800
2025-02-03,212.64459228515625,220.30999755859375,222.22999572753906,217.10000610351562,219.5399932861328,778800
2025-02-04,213.06927490234375,220.75,221.5800018310547,216.58999633789062,218.3000030517578,678300
2025-02-05,216.47645568847656,224.27999877929688,225.5800018310547,220.91000366210938,221.9199981689453,578300
2025-02-06,214.0634307861328,221.77999877929688,222.94000244140625,217.4499969482422,222.94000244140625,1381400
2025-02-07,212.4998016357422,220.16000366210938,223.7100067138672,219.41000366210938,222.4600067138672,638900
2025-02-10,211.63111877441406,219.25999450683594,219.92999267578125,216.32000732421875,219.92999267578125,1006600
2025-02-11,211.3029327392578,218.9199981689453,219.13999938964844,217.05999755859375,217.05999755859375,500800
2025-02-12,210.221923828125,217.8000030517578,219.11000061035156,214.94000244140625,215.10000610351562,405600
2025-02-13,212.44189453125,220.10000610351562,220.64999389648438,218.24000549316406,219.22000122070312,401500
2025-02-14,210.75277709960938,218.35000610351562,221.86000061035156,217.91000366210938,220.6199951171875,741100
2025-02-18,210.4246063232422,218.00999450683594,219.27999877929688,215.88999938964844,217.33999633789062,931100
2025-02-19,209.9999237060547,217.57000732421875,218.6300048828125,216.47000122070312,217.6699981689453,345300
